SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;INCLUDEDBYMOEX;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;EVENINGSESSION;MORNINGSESSION;WAPRICE;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;REPLBOND;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
RU000A0A0RZ9;ВТБС-1-549;Банк ВТБ С-1-549 (структурные);Корпоративные облигации;RU000A0A0RZ9;6-549-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;01.07.2026;;;;1;0;;0;0;;;01.07.2026;;;468;624;1092;05.07.2023;1000;Структурные облигации;;False;624;;Банк ВТБ (публичное акционерное общество);7702070139;1;92,39;923,9;0;1847,8;0;1847,8;0;1847,8;100;;;;;100;100;1
RU000A0A0S39;ВТБС-1-553;Банк ВТБ С-1-553 (структурные);Корпоративные облигации;RU000A0A0S39;6-553-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;02.07.2026;;;;1;0;;0;0;;;02.07.2026;;;474;625;1099;29.06.2023;1000;Структурные облигации;;False;625;;Банк ВТБ (публичное акционерное общество);7702070139;1;70,35;703,5;0;1407;0;1407;0;1407;100;;;;;100;100;1
RU000A0A0S47;ВТБС-1-554;Банк ВТБ С-1-554 (структурные);Корпоративные облигации;RU000A0A0S47;6-554-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;22.06.2026;;;;1;0;;0;0;;;22.06.2026;;;476;615;1091;27.06.2023;1000;Структурные облигации;;False;615;;Банк ВТБ (публичное акционерное общество);7702070139;1;94,46;944,6;0;1889,2;0;1889,2;0;1889,2;100;;;;;100;100;1
RU000A0A0S62;ВТБС-1-556;Банк ВТБ С-1-556 (структурные);Корпоративные облигации;RU000A0A0S62;6-556-01000-B-001P;;1000;RUB;;0;0;OCTR;ОТС: Облигации Т+ - безадресные;06.07.2026;;;;1;0;;0;0;;;06.07.2026;;;462;629;1091;11.07.2023;1000;Структурные облигации;;False;629;;Банк ВТБ (публичное акционерное общество);7702070139;1;89,88;898,8;0;1797,6;0;1797,6;0;1797,6;100;;;;;100;100;1
RU000A0JQ5C5;НПФ 01;"""НПФ"" ООО об.сер. 01";Корпоративные облигации;RU000A0JQ5C5;4-01-10013-R;3;1000;RUB;40800;0;0;TQIR;Т+ Облигации ПИР - безадрес.;06.05.2029;;;;0;1;;0;0;;;06.05.2029;5;1000,55;5640;1664;7304;07.05.2009;1000;;;False;1664;24.10.2024;"Общество с ограниченной ответственностью ""Недвижимость пенсионного фонда""";6658196868;1;100;1772,6;0;3545,2;0;3545,2;0;3545,2;100;;;;;10;10;1
RU000A0JQAM6;ДОМ.РФ15об;ДОМ.РФ (АО) обл. сер. А15;Корпоративные облигации;RU000A0JQAM6;4-15-00739-A;1;1000;RUB;7000000;1;0;TQCB;Т+: Облигации - безадрес.;15.09.2028;;;1052;0;0;2;0;0;;;15.03.2025;20;99,18;30;151;181;27.08.2009;1000;;;False;1431;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;98,98;1006,24;905,62;1106,86;875,43;1137,05;845,24;1167,24;10;140000;13;700000;16;10;10;0
RU000A0JQRD9;РЖД-23 обл;"""Российские ЖД"" ОАО 23 обл.";Корпоративные облигации;RU000A0JQRD9;4-23-65045-D;2;1000;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;16.01.2025;;;91;0;0;2;0;0;97,67;18,18;16.01.2025;7,85;39,14;89;93;182;04.02.2010;1000;;;False;93;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;97,63;995,44;935,71;1055,17;905,85;1085,03;875,99;1114,89;6;300000;9;1500000;12;6;6;0
RU000A0JR4U9;ГлДорога 3;Главная дорога АО об.сер. 03;Корпоративные облигации;RU000A0JR4U9;4-03-12755-A;2;625;RUB;8000000;0;0;TQCB;Т+: Облигации - безадрес.;30.10.2028;;;690;0;0;1;0;0;;;04.11.2024;4;24,93;344;20;364;22.11.2010;1000;;09.12.2010;False;1476;;"Акционерное общество ""Главная дорога""";7726581132;1;99,33;644,37;0;1288,74;0;1288,74;0;1288,74;100;;;;;10;10;1
RU000A0JRJB8;ЗСД 01;Запад.скор.диаметр АО об.01;Корпоративные облигации;RU000A0JRJB8;4-01-00350-D;1;1000;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;13.05.2031;;;1743;0;0;2;0;0;105,52;9,51;19.11.2024;10,44;52,06;147;35;182;07.06.2011;1000;;16.06.2011;False;2401;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;105,49;1096,95;822,71;1371,19;789,8;1404,1;756,9;1437;25;100000;28;500000;31;19;10;0
RU000A0JRJL7;ЗСД 02;Запад.скор.диаметр АО об.02;Корпоративные облигации;RU000A0JRJL7;4-02-00350-D;1;1000;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;13.05.2031;;;1773;0;0;2;0;0;;;19.11.2024;10,44;52,06;147;35;182;07.06.2011;1000;;16.06.2011;False;2401;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;99,35;1035,55;787,02;1284,08;755,95;1315,15;724,89;1346,22;24;100000;27;500000;30;24;24;0
RU000A0JRU20;СЗКК 03;Северо-Зап.концес.комп. сер.03;Корпоративные облигации;RU000A0JRU20;4-01-36388-R;3;676;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2031;;;1121;0;0;2;0;0;90,85;37,83;04.04.2025;12,05;40,62;11;171;182;21.10.2011;1000;;15.12.2011;False;2537;;"Общество с ограниченной ответственностью ""Северо-Западная концессионная компания""";7709756135;1;90,57;614,7;0;1229,4;0;1229,4;0;1229,4;100;;;;;10;10;1
RU000A0JRU46;СЗКК 04;Северо-Зап.концес.комп. сер.04;Корпоративные облигации;RU000A0JRU46;4-02-36388-R;3;676;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;26.09.2031;;;1117;0;0;2;0;0;89,99;40,65;04.04.2025;12,05;40,62;11;171;182;21.10.2011;1000;;15.12.2011;False;2537;;"Общество с ограниченной ответственностью ""Северо-Западная концессионная компания""";7709756135;1;89,64;608,42;0;1216,84;0;1216,84;0;1216,84;100;;;;;10;10;1
RU000A0JRZ74;ОткрФКББ03;ПАО ОТКРЫТИЕ ФК Банк БО-03;Биржевые облигации;RU000A0JRZ74;4B020302562B;2;1000;RUB;18000000;0;0;TQCB;Т+: Облигации - безадрес.;16.07.2025;;;272;0;0;2;0;0;;;16.01.2025;0,01;0,05;91;93;184;16.07.2013;1000;;16.07.2013;False;274;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;87,49;874,92;796,18;953,66;656,19;1093,65;524,95;1224,89;9;360000;25;1800000;40;9;9;0
RU000A0JS4J1;ЗСД 03;Запад.скор.диаметр АО об.03;Корпоративные облигации;RU000A0JS4J1;4-03-00350-D;1;1000;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.02.2032;;;;0;0;2;0;0;;;14.02.2025;9,84;49,07;60;122;182;02.03.2012;1000;;21.03.2012;False;2670;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;97,95;995,68;746,76;1244,6;716,89;1274,47;687,02;1304,34;25;100000;28;500000;31;25;25;0
RU000A0JS4K9;ЗСД 04;Запад.скор.диаметр АО об.04;Корпоративные облигации;RU000A0JS4K9;4-04-00350-D;1;1000;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.02.2032;;;1940;0;0;2;0;0;;;14.02.2025;9,84;49,07;60;122;182;02.03.2012;1000;;21.03.2012;False;2670;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;95,79;974,08;730,56;1217,6;701,34;1246,82;672,12;1276,04;25;100000;28;500000;31;25;25;0
RU000A0JS4L7;ЗСД 05;Запад.скор.диаметр АО об.05;Корпоративные облигации;RU000A0JS4L7;4-05-00350-D;1;1000;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;06.02.2032;;;;0;0;2;0;0;;;14.02.2025;9,84;49,07;60;122;182;02.03.2012;1000;;21.03.2012;False;2670;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;95,33;969,48;727,11;1272,44;698,03;1301,52;668,94;1330,61;25;100000;28;500000;31;25;25;0
RU000A0JS4Z7;ВЭБ.РФ 21;ВЭБ.РФ об. сер. 21;Корпоративные облигации;RU000A0JS4Z7;4-26-00004-T;1;1000;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;17.02.2032;;;1960;0;0;2;0;0;96,17;21,65;25.02.2025;9,28;46,27;49;133;182;13.03.2012;1000;;09.04.2012;False;2681;;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;96,43;976,76;908,39;1045,13;879,08;1074,44;849,78;1103,74;7;300000;10;1500000;13;7;7;0
RU000A0JS934;ЕАБР11;Евразийский банк развития 11;Корпоративные еврооблигации;RU000A0JS934;;1;1000;RUB;5000000;1;0;TQCB;Т+: Облигации - безадрес.;24.01.2025;;0;99;0;0;2;0;0;;;24.01.2025;9,5;47,37;81;101;182;02.02.2018;1000;;08.02.2018;False;101;;Евразийский банк развития;9909220306;1;96,95;990,58;891,52;1089,64;861,8;1119,36;832,09;1149,07;10;100000;13;500000;16;10;10;0
RU000A0JS9X1;СитиматНН;Ситиматик - Нижний Новгород АО;Корпоративные облигации;RU000A0JS9X1;4-01-20453-P;3;1000;RUB;1150000;0;0;TQIR;Т+ Облигации ПИР - безадрес.;20.12.2036;;;;0;1;;0;0;;;20.12.2036;;127,7;553;4449;5002;27.06.2012;1000;;06.07.2012;False;4449;;"Акционерное общество ""Ситиматик - Нижний Новгород""";5260278039;1;18,99;189,9;0;379,8;0;379,8;0;379,8;100;;;;;10;10;1
RU000A0JSGV0;РЖД-32 обл;"""Российские ЖД"" ОАО 32 обл.";Корпоративные облигации;RU000A0JSGV0;4-32-65045-D;1;1000;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;25.06.2032;;;1906;0;0;2;0;0;85,5;21,2;03.01.2025;9,8;48,87;102;80;182;20.07.2012;1000;;26.07.2012;False;2810;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;85,48;882,19;785,15;979,23;758,68;1005,7;732,22;1032,16;11;200000;14;1000000;17;11;10;0
RU000A0JSQ58;ФСК РС-22;ФСК Россети(ПАО)-обл. сер.22;Корпоративные облигации;RU000A0JSQ58;4-22-65018-D;2;1000;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;21.07.2027;;;272;0;0;2;0;0;97,78;20,02;22.01.2025;16;79,78;83;99;182;08.08.2012;1000;;17.08.2012;False;1009;30.07.2025;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;97,71;1013,48;952,67;1074,29;922,27;1104,69;891,86;1135,1;6;200000;9;1000000;12;6;6;0
RU000A0JT403;ВЭБ.РФ 18;ВЭБ.РФ об. сер. 18;Корпоративные облигации;RU000A0JT403;4-23-00004-T;1;1000;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;17.09.2032;;;166;0;0;2;0;0;100,18;18,87;28.03.2025;18,57;92,6;18;164;182;12.10.2012;1000;;07.11.2012;False;2894;01.04.2025;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;99,81;1007,26;956,9;1057,62;926,68;1087,84;896,46;1118,06;5;200000;8;1000000;11;5;5;0
RU000A0JT6B2;ВЭБ.РФ 19;ВЭБ.РФ об. сер. 19;Корпоративные облигации;RU000A0JT6B2;4-24-00004-T;1;1000;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;23.09.2032;;;498;0;0;2;0;0;97,92;16,48;03.04.2025;14,21;70,86;12;170;182;18.10.2012;1000;;07.11.2012;False;2900;04.04.2026;"государственная корпорация развития ""ВЭБ.РФ""";7750004150;1;97,96;984,27;925,21;1043,33;895,69;1072,85;866,16;1102,38;6;200000;9;1000000;12;6;6;0
RU000A0JT7T2;ФСК РС-21;ФСК Россети(ПАО)-обл. сер.21;Корпоративные облигации;RU000A0JT7T2;4-21-65018-D;2;1000;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;06.10.2027;;;181;0;0;2;0;0;99,6;13,29;09.04.2025;12;59,84;6;176;182;24.10.2012;1000;;20.11.2012;False;1086;16.04.2025;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;96,67;968,67;905,71;1031,63;876,65;1060,69;847,59;1089,75;6,5;200000;9,5;1000000;12,5;6,5;6,5;0
RU000A0JTB96;ГлДорога 7;Главная дорога АО об.сер. 07;Корпоративные облигации;RU000A0JTB96;4-07-12755-A;2;750;RUB;1400000;0;0;TQCB;Т+: Облигации - безадрес.;30.10.2029;;;845;0;0;1;0;0;;;05.11.2024;4;29,92;343;21;364;20.11.2012;1000;;13.12.2012;False;1841;;"Акционерное общество ""Главная дорога""";7726581132;1;98,45;766,57;0;1533,14;0;1533,14;0;1533,14;100;;;;;10;10;1
RU000A0JTFB2;ГлДорога 6;Главная дорога АО об.сер. 06;Корпоративные облигации;RU000A0JTFB2;4-06-12755-A;2;625;RUB;8172920;0;0;TQCB;Т+: Облигации - безадрес.;22.11.2028;;;643;0;0;1;0;0;;;27.11.2024;4;24,93;321;43;364;12.12.2012;1000;;14.01.2013;False;1499;;"Акционерное общество ""Главная дорога""";7726581132;1;82,01;534,55;0;1069,1;0;1069,1;0;1069,1;100;;;;;10;10;1
RU000A0JTU85;РЖД-28 обл;"""Российские ЖД"" ОАО 28 обл.";Корпоративные облигации;RU000A0JTU85;4-28-65045-D;2;1000;RUB;20000000;1;0;TQCB;Т+: Облигации - безадрес.;21.03.2028;;;1011;0;0;2;0;0;97,7;21,69;25.03.2025;15;74,79;21;161;182;09.04.2013;1000;;12.04.2013;False;1253;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;97,69;985,53;926,4;1044,66;896,83;1074,23;867,27;1103,79;6;400000;9;2000000;12;6;6;0
RU000A0JTW83;ДОМ.РФ25об;ДОМ.РФ (АО) обл. сер.А25;Корпоративные облигации;RU000A0JTW83;4-25-00739-A;1;500;RUB;6000000;1;0;TQCB;Т+: Облигации - безадрес.;01.10.2026;;;89;0;0;4;0;0;;;01.01.2025;18,25;23;14;78;92;29.04.2013;1000;;13.05.2013;False;716;03.07.2026;"Акционерное общество ""ДОМ.РФ""";7729355614;1;101,94;513,2;482,41;543,99;467,01;559,39;451,62;574,78;6;120000;9;600000;12;6;6;0
RU000A0JTYJ6;ФСК РС-23;ФСК Россети (ПАО)-обл. сер.23;Корпоративные облигации;RU000A0JTYJ6;4-23-65018-D;3;1000;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;27.04.2048;;;;0;0;4;0;0;;;25.11.2024;10,13;25,26;50;41;91;10.06.2013;1000;;28.06.2013;False;8595;;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;52,78;541,68;0;1083,36;0;1083,36;0;1083,36;100;;;;;10;10;1
RU000A0JTYK4;ФСК РС-28;ФСК Россети(ПАО)-обл. сер.28;Корпоративные облигации;RU000A0JTYK4;4-28-65018-D;3;1000;RUB;20000000;0;0;TQCB;Т+: Облигации - безадрес.;27.04.2048;;;;0;0;4;0;0;;;25.11.2024;10,13;25,26;50;41;91;10.06.2013;1000;;28.06.2013;False;8595;;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;52,78;541,68;0;1083,36;0;1083,36;0;1083,36;100;;;;;10;10;1
RU000A0JTZF1;ДОМ.РФ26об;ДОМ.РФ (АО) обл. сер.А26;Корпоративные облигации;RU000A0JTZF1;4-26-00739-A;2;1000;RUB;6000000;1;0;TQCB;Т+: Облигации - безадрес.;01.11.2029;;;;0;0;4;0;0;;;01.11.2024;14;35,29;75;17;92;25.06.2013;1000;;03.07.2013;False;1843;05.11.2024;"Акционерное общество ""ДОМ.РФ""";7729355614;1;99,69;1025,67;948,74;1102,6;917,97;1133,37;887,2;1164,14;7,5;120000;10,5;600000;13,5;7,5;7,5;0
RU000A0JU0N7;ОткрФКББ02;ПАО ОТКРЫТИЕ ФК Банк БО-02;Биржевые облигации;RU000A0JU0N7;4B020202562B;2;1000;RUB;24000000;0;0;TQCB;Т+: Облигации - безадрес.;24.09.2025;;;342;0;0;2;0;0;88,25;14,19;24.03.2025;0,01;0,05;21;160;181;24.09.2013;1000;;24.09.2013;False;344;;"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""";7706092528;1;84,53;845,31;769,23;921,39;633,98;1056,64;507,19;1183,43;9;480000;25;2400000;40;9;9;0
RU000A0JU2K9;ФСК РС-26;ФСК Россети(ПАО)-обл. сер.26;Корпоративные облигации;RU000A0JU2K9;4-26-65018-D;3;1000;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;30.06.2048;;;;0;0;4;0;0;;;29.10.2024;9,59;23,91;77;14;91;13.08.2013;1000;;09.09.2013;False;8659;09.07.2047;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;52,9;549,23;0;1098,46;0;1098,46;0;1098,46;100;;;;;10;10;1
RU000A0JU2L7;ФСК РС-27;ФСК Россети(ПАО)-обл. сер.27;Корпоративные облигации;RU000A0JU2L7;4-27-65018-D;3;1000;RUB;11000000;0;0;TQCB;Т+: Облигации - безадрес.;30.06.2048;;;;0;0;4;0;0;;;29.10.2024;9,59;23,91;77;14;91;13.08.2013;1000;;09.09.2013;False;8659;09.07.2047;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;52,9;549,23;0;1098,46;0;1098,46;0;1098,46;100;;;;;10;10;1
RU000A0JU7S1;ФСК РС-29;ФСК Россети (ПАО)-обл. сер.29;Корпоративные облигации;RU000A0JU7S1;4-29-65018-D;3;1000;RUB;20000000;0;0;TQCB;Т+: Облигации - безадрес.;07.09.2048;;;;0;0;4;0;0;;;06.01.2025;10,05;25,06;8;83;91;21.10.2013;1000;;19.11.2013;False;8728;;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;52,67;528,9;0;1057,8;0;1057,8;0;1057,8;100;;;;;10;10;1
RU000A0JU9K4;Ситимат01;Ситиматик АО обл.01;Корпоративные облигации;RU000A0JU9K4;4-01-76600-H;3;1000;RUB;2800000;0;0;TQIR;Т+ Облигации ПИР - безадрес.;20.12.2036;;;;0;1;1;0;0;;;06.05.2025;20;200;162;203;365;07.11.2013;1000;;29.11.2013;False;4449;;"Акционерное общество ""Ситиматик""";7725727149;1;107,6;1164,77;0;2329,54;0;2329,54;0;2329,54;100;;;;;10;10;1
RU000A0JUAG0;РСГ-ФинБ01;РСГ-Финанс ООО обл. БО-01;Биржевые облигации;RU000A0JUAG0;4B02-01-36399-R;3;1000;RUB;3000000;0;0;TQIR;Т+ Облигации ПИР - безадрес.;11.11.2025;;;351;0;1;2;0;0;99,55;23,15;12.11.2024;16,5;82,27;154;28;182;26.11.2013;1000;;26.11.2013;False;392;;"Общество с ограниченной ответственностью ""РСГ-Финанс""";7709858440;1;99,25;1062,12;0;2124,24;0;2124,24;0;2124,24;100;;;;;10;10;1
RU000A0JUAH8;РЖД-30 обл;"""Российские ЖД"" ОАО 30 обл.";Корпоративные облигации;RU000A0JUAH8;4-30-65045-D;2;1000;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;07.11.2028;;;29;0;0;2;0;0;99;21,27;12.11.2024;6,75;33,66;154;28;182;26.11.2013;1000;;27.11.2013;False;1484;15.11.2024;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;98,96;1018,08;957;1079,16;926,45;1109,71;895,91;1140,25;6;300000;9;1500000;12;6;6;0
RU000A0JUAN6;ГазпромБ19;"""Газпром"" ПАО БО-19";Биржевые облигации;RU000A0JUAN6;4B02-19-00028-A;3;1000;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;21.10.2043;;;;0;0;2;0;0;;;13.11.2024;8,72;43,48;153;29;182;27.11.2013;1000;;27.11.2013;False;6945;;"Публичное акционерное общество ""Газпром""";7736050003;1;75,97;796,25;0;1592,5;0;1592,5;0;1592,5;100;;;;;10;10;1
RU000A0JUAP1;ГазпромБ20;"""Газпром"" ПАО БО-20";Биржевые облигации;RU000A0JUAP1;4B02-20-00028-A;3;1000;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;21.10.2043;;;;0;0;2;0;0;;;13.11.2024;8,72;43,48;153;29;182;27.11.2013;1000;;27.11.2013;False;6945;;"Публичное акционерное общество ""Газпром""";7736050003;1;75,97;796,25;0;1592,5;0;1592,5;0;1592,5;100;;;;;10;10;1
RU000A0JUC92;ФСК РС-30;ФСК Россети(ПАО)-обл. сер.30;Корпоративные облигации;RU000A0JUC92;4-30-65018-D;3;1000;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;30.10.2048;;;;0;0;4;0;0;;;29.11.2024;10,13;25,26;46;45;91;13.12.2013;1000;;16.01.2014;False;8781;12.11.2046;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;1;53,05;543,27;0;1086,54;0;1086,54;0;1086,54;100;;;;;10;10;1
